Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,Quarter,Month,Year
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUL FY2013,77441,01-07-2013,4,7,2013
SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,AUG FY2013,10,01-08-2013,1,8,2013
TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,AUG FY2013,9930,01-08-2013,1,8,2013
SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,SEP FY2013,16,01-09-2013,1,9,2013
TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,SEP FY2013,11086,01-09-2013,1,9,2013
SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,OCT FY2013,123,01-10-2013,1,10,2013
TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,OCT FY2013,31813,01-10-2013,1,10,2013
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,NOV FY2013,34,01-11-2013,2,11,2013
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,NOV FY2013,13434,01-11-2013,2,11,2013
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,DEC FY2013,174,01-12-2013,2,12,2013
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,DEC FY2013,17254,01-12-2013,2,12,2013
QKBU,N9500,N9K-C9508,Q2 FY2014,JAN FY2014,91,01-01-2014,2,1,2014
SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,JAN FY2014,315,01-01-2014,2,1,2014
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,JAN FY2014,71,01-01-2014,2,1,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2014,JAN FY2014,387,01-01-2014,2,1,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2014,JAN FY2014,4729,01-01-2014,2,1,2014
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,JAN FY2014,27933,01-01-2014,2,1,2014
UCEBU,PHONVOC,CP-7821-K9,Q2 FY2014,JAN FY2014,53377,01-01-2014,2,1,2014
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,JAN FY2014,31729,01-01-2014,2,1,2014
QKBU,N9500,N9K-C9508,Q3 FY2014,FEB FY2014,29,01-02-2014,3,2,2014
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,FEB FY2014,364,01-02-2014,3,2,2014
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2014,FEB FY2014,59,01-02-2014,3,2,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2014,FEB FY2014,536,01-02-2014,3,2,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,FEB FY2014,2366,01-02-2014,3,2,2014
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,FEB FY2014,21444,01-02-2014,3,2,2014
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2014,FEB FY2014,28693,01-02-2014,3,2,2014
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,FEB FY2014,28942,01-02-2014,3,2,2014
CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2014,MAR FY2014,5,01-03-2014,3,3,2014
QKBU,N9500,N9K-C9508,Q3 FY2014,MAR FY2014,32,01-03-2014,3,3,2014
SRSBU,4300ISR,ISR4331/K9,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
SRSBU,4300ISR,ISR4351/K9,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
SRSBU,ISR1121,ISR4431/K9,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,MAR FY2014,338,01-03-2014,3,3,2014
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2014,MAR FY2014,77,01-03-2014,3,3,2014
SRSBU,A9K1000,A9K1001-X,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2014,MAR FY2014,298,01-03-2014,3,3,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,MAR FY2014,4569,01-03-2014,3,3,2014
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,MAR FY2014,22572,01-03-2014,3,3,2014
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2014,MAR FY2014,41025,01-03-2014,3,3,2014
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,MAR FY2014,42734,01-03-2014,3,3,2014
UCEBU,PHONVOC,CP-8811-K9,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
UCEBU,PHONVOC,CP-8841-K9,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
UCEBU,PHONVOC,CP-8851-K9,Q3 FY2014,MAR FY2014,0,01-03-2014,3,3,2014
CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2014,APR FY2014,319,01-04-2014,3,4,2014
QKBU,N9500,N9K-C9508,Q3 FY2014,APR FY2014,112,01-04-2014,3,4,2014
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,APR FY2014,534,01-04-2014,3,4,2014
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2014,APR FY2014,84,01-04-2014,3,4,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2014,APR FY2014,904,01-04-2014,3,4,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,APR FY2014,13293,01-04-2014,3,4,2014
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,APR FY2014,42568,01-04-2014,3,4,2014
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2014,APR FY2014,105136,01-04-2014,3,4,2014
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,APR FY2014,72483,01-04-2014,3,4,2014
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,MAY FY2014,387,01-05-2014,4,5,2014
QKBU,N9500,N9K-C9508,Q4 FY2014,MAY FY2014,24,01-05-2014,4,5,2014
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,MAY FY2014,445,01-05-2014,4,5,2014
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,MAY FY2014,116,01-05-2014,4,5,2014
SRSBU,A9K1000,A9K1001-X,Q4 FY2014,MAY FY2014,29,01-05-2014,4,5,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,MAY FY2014,305,01-05-2014,4,5,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,MAY FY2014,4368,01-05-2014,4,5,2014
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,MAY FY2014,19736,01-05-2014,4,5,2014
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,MAY FY2014,74104,01-05-2014,4,5,2014
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,MAY FY2014,51314,01-05-2014,4,5,2014
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,MAY FY2014,243,01-05-2014,4,5,2014
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,MAY FY2014,259,01-05-2014,4,5,2014
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,MAY FY2014,227,01-05-2014,4,5,2014
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUN FY2014,627,01-06-2014,4,6,2014
QKBU,N9500,N9K-C9508,Q4 FY2014,JUN FY2014,63,01-06-2014,4,6,2014
SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUN FY2014,1,01-06-2014,4,6,2014
SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUN FY2014,1,01-06-2014,4,6,2014
SRSBU,4300ISR,ISR4351/K9,Q4 FY2014,JUN FY2014,2,01-06-2014,4,6,2014
SRSBU,ISR1121,ISR4431/K9,Q4 FY2014,JUN FY2014,0,01-06-2014,4,6,2014
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUN FY2014,609,01-06-2014,4,6,2014
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,JUN FY2014,178,01-06-2014,4,6,2014
SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUN FY2014,15,01-06-2014,4,6,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,JUN FY2014,665,01-06-2014,4,6,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUN FY2014,7137,01-06-2014,4,6,2014
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUN FY2014,33131,01-06-2014,4,6,2014
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,JUN FY2014,60297,01-06-2014,4,6,2014
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUN FY2014,49679,01-06-2014,4,6,2014
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,JUN FY2014,1513,01-06-2014,4,6,2014
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUN FY2014,495,01-06-2014,4,6,2014
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,JUN FY2014,990,01-06-2014,4,6,2014
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUL FY2014,1116,01-07-2014,4,7,2014
QKBU,N9500,N9K-C9508,Q4 FY2014,JUL FY2014,265,01-07-2014,4,7,2014
SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUL FY2014,0,01-07-2014,4,7,2014
SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUL FY2014,0,01-07-2014,4,7,2014
SRSBU,4300ISR,ISR4351/K9,Q4 FY2014,JUL FY2014,7,01-07-2014,4,7,2014
SRSBU,ISR1121,ISR4431/K9,Q4 FY2014,JUL FY2014,55,01-07-2014,4,7,2014
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUL FY2014,1978,01-07-2014,4,7,2014
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,JUL FY2014,202,01-07-2014,4,7,2014
SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUL FY2014,563,01-07-2014,4,7,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,JUL FY2014,982,01-07-2014,4,7,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUL FY2014,17130,01-07-2014,4,7,2014
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUL FY2014,70685,01-07-2014,4,7,2014
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,JUL FY2014,155691,01-07-2014,4,7,2014
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUL FY2014,125440,01-07-2014,4,7,2014
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,JUL FY2014,20013,01-07-2014,4,7,2014
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUL FY2014,23370,01-07-2014,4,7,2014
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,JUL FY2014,6333,01-07-2014,4,7,2014
SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,AUG FY2014,66,01-08-2014,1,8,2014
SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,AUG FY2014,68,01-08-2014,1,8,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q1 FY2014,AUG FY2014,43,01-08-2014,1,8,2014
TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,AUG FY2014,11195,01-08-2014,1,8,2014
QKBU,N9500,N9K-C9508,Q1 FY2014,SEP FY2014,3,01-09-2014,1,9,2014
SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,SEP FY2014,97,01-09-2014,1,9,2014
SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,SEP FY2014,37,01-09-2014,1,9,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q1 FY2014,SEP FY2014,10,01-09-2014,1,9,2014
TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,SEP FY2014,20515,01-09-2014,1,9,2014
QKBU,N9500,N9K-C9508,Q1 FY2014,OCT FY2014,2,01-10-2014,1,10,2014
SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,OCT FY2014,245,01-10-2014,1,10,2014
SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,OCT FY2014,74,01-10-2014,1,10,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q1 FY2014,OCT FY2014,234,01-10-2014,1,10,2014
TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,OCT FY2014,37000,01-10-2014,1,10,2014
UCEBU,PHONVOC,CP-7821-K9,Q1 FY2014,OCT FY2014,3600,01-10-2014,1,10,2014
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2014,OCT FY2014,14545,01-10-2014,1,10,2014
QKBU,N9500,N9K-C9508,Q2 FY2014,NOV FY2014,1,01-11-2014,2,11,2014
SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,NOV FY2014,254,01-11-2014,2,11,2014
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,NOV FY2014,83,01-11-2014,2,11,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2014,NOV FY2014,45,01-11-2014,2,11,2014
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,NOV FY2014,16528,01-11-2014,2,11,2014
UCEBU,PHONVOC,CP-7821-K9,Q2 FY2014,NOV FY2014,8206,01-11-2014,2,11,2014
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,NOV FY2014,11527,01-11-2014,2,11,2014
QKBU,N9500,N9K-C9508,Q2 FY2014,DEC FY2014,69,01-12-2014,2,12,2014
SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,DEC FY2014,248,01-12-2014,2,12,2014
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,DEC FY2014,99,01-12-2014,2,12,2014
TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2014,DEC FY2014,61,01-12-2014,2,12,2014
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2014,DEC FY2014,235,01-12-2014,2,12,2014
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,DEC FY2014,26355,01-12-2014,2,12,2014
UCEBU,PHONVOC,CP-7821-K9,Q2 FY2014,DEC FY2014,22081,01-12-2014,2,12,2014
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,DEC FY2014,32209,01-12-2014,2,12,2014
CVEBU,CTSQS,CTS-CAM-P60+,Q2 FY2015,JAN FY2015,1028,01-01-2015,2,1,2015
ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2015,JAN FY2015,41,01-01-2015,2,1,2015
ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2015,JAN FY2015,11,01-01-2015,2,1,2015
QKBU,N9500,N9K-C9508,Q2 FY2015,JAN FY2015,137,01-01-2015,2,1,2015
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,JAN FY2015,179,01-01-2015,2,1,2015
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,JAN FY2015,79,01-01-2015,2,1,2015
SRSBU,4300ISR,ISR4321/K9,Q2 FY2015,JAN FY2015,657,01-01-2015,2,1,2015
SRSBU,4300ISR,ISR4331/K9,Q2 FY2015,JAN FY2015,1640,01-01-2015,2,1,2015
SRSBU,4300ISR,ISR4351/K9,Q2 FY2015,JAN FY2015,244,01-01-2015,2,1,2015
SRSBU,ISR1121,ISR4431/K9,Q2 FY2015,JAN FY2015,2083,01-01-2015,2,1,2015
SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2015,JAN FY2015,1072,01-01-2015,2,1,2015
SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2015,JAN FY2015,156,01-01-2015,2,1,2015
SRSBU,A9K1000,A9K1001-X,Q2 FY2015,JAN FY2015,921,01-01-2015,2,1,2015
TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2015,JAN FY2015,1160,01-01-2015,2,1,2015
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2015,JAN FY2015,20159,01-01-2015,2,1,2015
TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2015,JAN FY2015,26069,01-01-2015,2,1,2015
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2015,JAN FY2015,156,01-01-2015,2,1,2015
TOASTBU,SFPGE,GLC-TE,Q2 FY2015,JAN FY2015,44,01-01-2015,2,1,2015
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,JAN FY2015,2,01-01-2015,2,1,2015
UCEBU,PHONVOC,CP-7821-K9,Q2 FY2015,JAN FY2015,119670,01-01-2015,2,1,2015
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2015,JAN FY2015,78652,01-01-2015,2,1,2015
UCEBU,PHONVOC,CP-8811-K9,Q2 FY2015,JAN FY2015,5419,01-01-2015,2,1,2015
UCEBU,PHONVOC,CP-8841-K9,Q2 FY2015,JAN FY2015,26906,01-01-2015,2,1,2015
UCEBU,PHONVOC,CP-8851-K9,Q2 FY2015,JAN FY2015,27520,01-01-2015,2,1,2015
UCEBU,PHONVOC,CP-8861-K9,Q2 FY2015,JAN FY2015,10972,01-01-2015,2,1,2015
CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2015,FEB FY2015,852,01-02-2015,3,2,2015
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2015,FEB FY2015,14,01-02-2015,3,2,2015
ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,FEB FY2015,49,01-02-2015,3,2,2015
QKBU,N9500,N9K-C9508,Q3 FY2015,FEB FY2015,143,01-02-2015,3,2,2015
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,FEB FY2015,30,01-02-2015,3,2,2015
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,FEB FY2015,397,01-02-2015,3,2,2015
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2015,FEB FY2015,11,01-02-2015,3,2,2015
SRSBU,4300ISR,ISR4321/K9,Q3 FY2015,FEB FY2015,706,01-02-2015,3,2,2015
SRSBU,4300ISR,ISR4331/K9,Q3 FY2015,FEB FY2015,2200,01-02-2015,3,2,2015
SRSBU,4300ISR,ISR4351/K9,Q3 FY2015,FEB FY2015,1042,01-02-2015,3,2,2015
SRSBU,ISR1121,ISR4431/K9,Q3 FY2015,FEB FY2015,415,01-02-2015,3,2,2015
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2015,FEB FY2015,479,01-02-2015,3,2,2015
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2015,FEB FY2015,64,01-02-2015,3,2,2015
SRSBU,A9K1000,A9K1001-X,Q3 FY2015,FEB FY2015,927,01-02-2015,3,2,2015
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2015,FEB FY2015,1066,01-02-2015,3,2,2015
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2015,FEB FY2015,8045,01-02-2015,3,2,2015
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2015,FEB FY2015,19952,01-02-2015,3,2,2015
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,FEB FY2015,494,01-02-2015,3,2,2015
TOASTBU,SFPGE,GLC-TE,Q3 FY2015,FEB FY2015,20,01-02-2015,3,2,2015
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,FEB FY2015,126,01-02-2015,3,2,2015
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2015,FEB FY2015,80261,01-02-2015,3,2,2015
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2015,FEB FY2015,63630,01-02-2015,3,2,2015
UCEBU,PHONVOC,CP-8811-K9,Q3 FY2015,FEB FY2015,5223,01-02-2015,3,2,2015
UCEBU,PHONVOC,CP-8841-K9,Q3 FY2015,FEB FY2015,8421,01-02-2015,3,2,2015
UCEBU,PHONVOC,CP-8851-K9,Q3 FY2015,FEB FY2015,14440,01-02-2015,3,2,2015
UCEBU,PHONVOC,CP-8861-K9,Q3 FY2015,FEB FY2015,1790,01-02-2015,3,2,2015
CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2015,MAR FY2015,1418,01-03-2015,3,3,2015
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2015,MAR FY2015,53,01-03-2015,3,3,2015
ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,MAR FY2015,78,01-03-2015,3,3,2015
QKBU,N9500,N9K-C9508,Q3 FY2015,MAR FY2015,94,01-03-2015,3,3,2015
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,MAR FY2015,5,01-03-2015,3,3,2015
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,MAR FY2015,26,01-03-2015,3,3,2015
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2015,MAR FY2015,355,01-03-2015,3,3,2015
SRSBU,4300ISR,ISR4321/K9,Q3 FY2015,MAR FY2015,515,01-03-2015,3,3,2015
SRSBU,4300ISR,ISR4331/K9,Q3 FY2015,MAR FY2015,3194,01-03-2015,3,3,2015
SRSBU,4300ISR,ISR4351/K9,Q3 FY2015,MAR FY2015,1235,01-03-2015,3,3,2015
SRSBU,ISR1121,ISR4431/K9,Q3 FY2015,MAR FY2015,22,01-03-2015,3,3,2015
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2015,MAR FY2015,860,01-03-2015,3,3,2015
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2015,MAR FY2015,84,01-03-2015,3,3,2015
SRSBU,A9K1000,A9K1001-X,Q3 FY2015,MAR FY2015,995,01-03-2015,3,3,2015
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2015,MAR FY2015,1635,01-03-2015,3,3,2015
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2015,MAR FY2015,16768,01-03-2015,3,3,2015
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2015,MAR FY2015,26810,01-03-2015,3,3,2015
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,MAR FY2015,2503,01-03-2015,3,3,2015
TOASTBU,SFPGE,GLC-TE,Q3 FY2015,MAR FY2015,2,01-03-2015,3,3,2015
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,MAR FY2015,450,01-03-2015,3,3,2015
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2015,MAR FY2015,92555,01-03-2015,3,3,2015
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2015,MAR FY2015,91662,01-03-2015,3,3,2015
UCEBU,PHONVOC,CP-8811-K9,Q3 FY2015,MAR FY2015,12386,01-03-2015,3,3,2015
UCEBU,PHONVOC,CP-8841-K9,Q3 FY2015,MAR FY2015,30046,01-03-2015,3,3,2015
UCEBU,PHONVOC,CP-8851-K9,Q3 FY2015,MAR FY2015,26511,01-03-2015,3,3,2015
UCEBU,PHONVOC,CP-8861-K9,Q3 FY2015,MAR FY2015,3136,01-03-2015,3,3,2015
CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2015,APR FY2015,1607,01-04-2015,3,4,2015
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2015,APR FY2015,43,01-04-2015,3,4,2015
ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,APR FY2015,77,01-04-2015,3,4,2015
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2015,APR FY2015,63,01-04-2015,3,4,2015
QKBU,N9500,N9K-C9508,Q3 FY2015,APR FY2015,241,01-04-2015,3,4,2015
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,APR FY2015,4,01-04-2015,3,4,2015
OTBU,15454W,NCS2015-SA-DC,Q3 FY2015,APR FY2015,19,01-04-2015,3,4,2015
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,APR FY2015,94,01-04-2015,3,4,2015
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2015,APR FY2015,217,01-04-2015,3,4,2015
SRSBU,4300ISR,ISR4321/K9,Q3 FY2015,APR FY2015,2094,01-04-2015,3,4,2015
SRSBU,4300ISR,ISR4331/K9,Q3 FY2015,APR FY2015,4543,01-04-2015,3,4,2015
SRSBU,4300ISR,ISR4351/K9,Q3 FY2015,APR FY2015,592,01-04-2015,3,4,2015
SRSBU,ISR1121,ISR4431/K9,Q3 FY2015,APR FY2015,1605,01-04-2015,3,4,2015
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2015,APR FY2015,2497,01-04-2015,3,4,2015
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2015,APR FY2015,142,01-04-2015,3,4,2015
SRSBU,A9K1000,A9K1001-X,Q3 FY2015,APR FY2015,1745,01-04-2015,3,4,2015
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2015,APR FY2015,2746,01-04-2015,3,4,2015
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2015,APR FY2015,26687,01-04-2015,3,4,2015
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2015,APR FY2015,39626,01-04-2015,3,4,2015
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,APR FY2015,4385,01-04-2015,3,4,2015
